Date,Radial Distance from Sun(AU),Electronic Box Temperature(DegC),Out Board Sensor Temperature(DegC),In Board Sensor Temperature(DegC),Search Coil Magnetometers Temperature(DegC),Solar Array Angle(Deg),High Gain Antenna azimuth(Deg),High Gain Antenna Elevation(Deg),IBS_R,IBS_T,IBS_N,IBS_time,OBS_R,OBS_T,OBS_N
2023-08-20,0.513213393099331,4.90881852028969,-85.9555280453234,-75.9845890847384,-112.275697925881,29.8000214389258,-164.645722247503,-90.9902707467492,0.006455104129203,0.0804757915079379,0.0342745638374116,419.0,-0.2452961610103985,0.0655047907257635,0.0963912293832572
2023-08-21,0.498547157989683,5.03841972498413,-86.4542043522424,-76.714816973791,-112.083959786198,29.8000214389258,-164.630461550951,-90.9609767325017,-0.0286181604227463,0.0663953262533475,0.0185088135563485,448.96875,-0.2454914992619599,0.0356616743040675,0.099499877924398
2023-08-22,0.483784236064485,5.09733480862743,-86.4493153688413,-76.8821608650322,-111.90683249683,29.8000214389258,-164.5984320175,-90.9102103595832,-0.020177201048742,0.054789075025186,0.0144183580079229,449.0,-0.2353364512997471,0.033509265165181,0.0821438005600886
2023-08-23,0.46894209520139,5.127935795216,-86.6204297878822,-77.2168486475146,-111.713259151571,29.8000214389258,-164.62711415407,-90.8891836524628,0.0292823420723812,0.0782071130240247,0.0422647365866563,449.0,-0.1886446282807699,0.0453400482939558,0.0786781658372305
2023-08-24,0.454038551834983,5.30848161608859,-86.7622103065161,-77.5363233489751,-111.500963442025,29.8000214389258,-164.63758549816,-90.859885346681,0.0638994224354337,0.0424167444602847,0.0640519957394156,449.0,-0.1411843526353748,-0.0082073711385092,0.1108948198281497
2023-08-25,0.439091762501969,5.33755255334774,-86.7719882733184,-77.7239513482455,-110.967572105502,29.8000214389258,-164.67249713102,-90.8194977158455,0.1410068754822822,0.1113172444491742,0.0618143885149476,389.0,-0.0480328194603918,0.0533135862659069,0.1437030477787196
2023-08-26,0.424120214064321,5.05104672418208,-86.4542043522424,-76.1215068139358,-112.331914030172,29.8000214389258,-164.710206844351,-90.7861782422715,0.1983665505196404,0.2723191345130666,0.0466140961169198,359.0,-0.0236080418405504,0.2673496742274228,0.1246137928116265
2023-08-27,0.409142711473325,4.06725768133154,-86.1413094145678,-73.3172288788938,-114.415694660051,55.890920576791,-164.764207222504,-90.7535497057459,0.1528297782651756,0.3043965163417066,0.0735797736074211,359.0,-0.0916914491235702,0.3436233182394965,0.126403301122797
2023-08-28,0.394178365962593,3.86635083663869,-86.1217534809631,-73.0941036905722,-114.646631048178,55.890920576791,-164.855445245197,-90.7073770864537,0.2442738502253217,0.2553503700118192,0.0908688632777658,359.0,-0.0450101115897142,0.3374024848913484,0.1224326660373363
2023-08-29,0.379246584242659,4.57865692236787,-85.6915229416603,-72.7594159080899,-114.57236784812,55.890920576791,-164.91800294307,-90.6821128230674,0.1329198225987476,0.1525872274560787,0.2746447879926774,359.0,-0.1503161146144809,0.241362742371995,0.275937853452769
2023-08-30,0.364367051761991,4.84138125773544,-86.1804212817771,-73.3121578518865,-114.508898052953,55.890920576791,-165.04741845635,-90.6386481620218,0.237606742990646,0.1922988535708087,0.2254303697996436,359.0,-0.0527680029742523,0.2931753260229416,0.1911775285389909
2023-08-31,0.349559714758904,5.14629638716915,-86.1217534809631,-72.9774700694041,-115.211743667999,55.890920576791,-165.197145802245,-90.5953723284925,0.1657405409154513,0.296861833450549,0.217011676405246,329.0,-0.0527908550395615,0.3679256824757949,0.1392944656511638
2023-09-01,0.334844761309174,5.127935795216,-86.2390890825911,-72.5515038007902,-115.635523675726,59.9091008621347,-165.323080881075,-90.5641642898743,0.1199724857420694,0.2725078291701628,0.0836445257832828,329.0,-0.0110290422822697,0.2990717821432535,-0.0061968720426913
2023-09-02,0.320242599737738,5.19831806436972,-85.7306348088696,-72.0545431540739,-115.584268616772,59.9091008621347,-165.499106750161,-90.5255662289101,-0.0150299157364333,0.2722444666660105,0.1594338767214919,329.0,-0.0717862226563469,0.2569709357642221,0.0475721752235129
2023-09-03,0.305773835348454,5.26564023486458,-85.9506390619223,-72.3435916934905,-115.422002680558,59.9091008621347,-165.70187317049,-90.4861012779844,-0.0442750693159859,0.2195124541931045,0.1418972057543193,329.0,-0.1050328368541487,0.2345796270532893,0.0509055429360419
2023-09-04,0.291459243362847,5.35285304664202,-86.1070865307596,-72.6072850978705,-115.215746267694,59.9091008621347,-165.980775703734,-90.4387527782493,-0.0132752713825983,0.1971227715231131,0.0984229349707841,329.0,-0.1174159269845247,0.2310424428147056,0.0369970330295452
2023-09-05,0.277319738956322,5.42170526646631,-86.1217534809631,-72.7391318000606,-115.003292632445,59.9091008621347,-166.159016004604,-90.4099479989307,0.0156373799677044,0.1204000016601109,-0.0078247623177417,359.0,-0.1420432090200109,0.1828877555482244,-0.02773369524922
2023-09-06,0.26337634365601,5.59919098868004,-86.1950882319806,-72.992683150426,-114.7737231185,59.9091008621347,-166.516054505825,-90.3610373806509,0.0821163929232355,0.140971906749158,-0.0542252012265346,359.0,-0.1338297384497183,0.2019675868582665,-0.0622964923098968
2023-09-07,0.249650147890826,5.84093878272978,-86.1706433149747,-73.1143877986015,-114.525312533174,59.9091008621347,-166.900842068886,-90.3144441909813,0.0957592202791321,0.1108172402393405,-0.0562005028756242,359.0,-0.1418371591679262,0.186036138505145,-0.0942883054077221
2023-09-08,0.236162268966211,6.00924420896694,-86.0973085639573,-73.205666284733,-114.258613043443,59.9091008621347,-167.215424419659,-90.2801419560151,0.0494108455622018,0.1156694883401168,0.0803329854645696,359.0,-0.2081958833855876,0.1988236947304583,0.0187573411633428
2023-09-09,0.222933804021489,6.16224914190981,-86.0826416137538,-73.3882232569962,-114.023324150543,59.9091008621347,-167.637818699222,-90.2372824013287,-0.1140911329469079,-0.0096511587742502,0.0918184955020089,389.0,-0.3677849782072936,0.0976538433392006,0.0377213817846884
2023-09-10,0.20998577735492,5.95416243310751,-86.1021975473585,-73.6265615263397,-113.664828740091,59.9091008621347,-168.111870179123,-90.1948477085542,0.0371182497894924,-0.0337184904881337,0.0447059838090705,389.0,-0.3022962779648703,0.0894926284184987,0.0803757444324073
2023-09-11,0.197339081449837,6.67481566726842,-86.0924195805561,-73.7584082285298,-113.330935685519,59.9091008621347,-168.467552555452,-90.163240557231,0.0630537611562627,0.0346359415408923,-0.0270306095606141,389.0,-0.2679326877200727,0.1394743511615972,0.0369777389276539
